# Function-size budget grandfather list (shrink-only).
# Seeded 2026-09-15 from scripts/funlen and scripts/tsfunlen.cjs at this tip (139 entries: 70 Go production, 20 Go test, 13 TS production, 36 TS test — see docs/internal/architecture/size-budget-grandfather-2026-09-15.md). A PR may lower a listed number or delete a line; it may never raise a number or add a new one.
# file	qualified name	lines
src/components/chat/mermaid-renderer.test.tsx	(arg of describe)	458
src/components/connectors/EmailMailboxPanel.test.tsx	(arg of describe)	304
src/components/library/knowledge/KnowledgeBacklinks.test.tsx	(arg of describe)	360
src/components/library/knowledge/KnowledgeNoteView.test.tsx	(arg of describe)	413
src/components/library/LibraryExplorer.test.tsx	(arg of describe)	257
src/components/library/LibraryPanel.test.tsx	(arg of describe)	256
src/components/library/preview/BasePreview.test.tsx	(arg of describe)	415
src/components/library/preview/knowledgeMarkdown.test.tsx	(arg of describe)	245
src/components/library/preview/LibraryPdfPreview.tsx	(anonymous)	411
src/components/library/preview/LibraryPdfPreview.tsx	(arg of useEffect)	594
src/components/library/preview/useLibraryFileEditor.ts	useLibraryFileEditor	355
src/components/providers/provider-picker-model.test.ts	(arg of describe)	376
src/components/providers/SignInDialog.test.tsx	(arg of describe)	274
src/components/screens/UsageScreen.test.tsx	(arg of describe)	285
src/components/settings/MemorySection.test.tsx	(arg of describe)	316
src/components/settings/PerformanceSection.goal.test.tsx	(arg of describe)	321
src/components/settings/PerformanceSection.test.tsx	(arg of describe)	256
src/components/settings/PerformanceSection.test.tsx	(arg of describe)	286
src/components/settings/SandboxSection.test.tsx	(arg of describe)	311
src/components/ui/model-selector.test.tsx	(arg of describe)	247
src/components/workspaces/WorkspaceTeamTab.test.tsx	(arg of describe)	453
src/hooks/useAutoSave.test.tsx	(arg of describe)	1300
src/hooks/useAutoSave.ts	useAutoSave	488
src/hooks/useSlashMenu.test.ts	(arg of describe)	441
src/hooks/useSlashMenu.ts	useSlashMenu	925
src/lib/api.test.ts	(arg of describe)	312
src/lib/api.test.ts	(arg of describe)	456
src/routes/_app/-library.test.tsx	(arg of describe)	257
src/routes/_app/-sessions.$sessionId.workspace.test.tsx	(arg of describe)	274
src/store/chat.test.ts	(arg of describe)	255
src/store/chat.test.ts	(arg of describe)	329
src/store/chat.test.ts	(arg of describe)	392
src/store/chat.tool-call-offset.test.ts	(arg of describe)	857
src/store/chat.ts	(arg of create)	4568
src/store/chat.ts	(arg of produce)	335
src/store/chat.ts	(arg of withBucket)	337
src/store/chat.ts	handleFrame	2775
src/store/chat.ts	sendMessage	428
src/store/session.ts	(arg of create)	397
src/test/contract.test.ts	(arg of describe)	276
tests/perf/load_2000_sessions_test.go	TestLoad2000Sessions	264
tests/security/command_injection_test.go	TestExecCommandInjection_WorkspaceRestriction	396
tests/security/ssrf_matrix_test.go	TestSSRFMatrix	289
